Kundennummer,ABC_Klasse,Kennzeichen_Neukunde
104940,C,Nein
104954,C,Ja
104957,-,Ja
104962,C,Ja
104967,C,Ja
104968,C,Ja
104969,C,Nein
104973,C,Ja
104975,C,Ja
104986,A,Nein
104988,C,Nein
104996,C,Ja
104999,C,Ja
105000,A,Nein
105010,-,Ja
105011,C,Ja
105013,B,Nein
105015,C,Ja
105017,C,Ja
105018,C,Ja
105024,C,Ja
105025,B,Ja
105028,C,Ja
105037,B,Ja
105044,-,Ja
105046,C,Ja
105047,B,Nein
105051,A,Ja
105053,C,Ja
105058,B,Ja
105065,C,Ja
105066,-,Ja
105070,B,Nein
105075,C,Nein
105086,C,Ja
105090,C,Ja
105098,C,Ja
105104,B,Nein
105116,C,Ja
105118,A,Nein
105126,A,Ja
105130,C,Nein
105131,-,Ja
105140,B,Ja
105141,-,Ja
105143,C,Ja
105153,-,Ja
105159,C,Ja
105163,C,Ja
105169,C,Ja
105170,C,Ja
105190,C,Nein
105191,-,Ja
105193,C,Ja
105208,-,Ja
105218,C,Ja
105219,-,Ja
105220,C,Ja
105225,C,Ja
105226,C,Nein
105229,C,Ja
105242,B,Ja
105244,C,Ja
105248,B,Nein
105252,C,Ja
105253,C,Ja
105254,B,Ja
105263,B,Ja
105278,C,Ja
105284,C,Ja
105287,-,Ja
105291,C,Ja
105296,-,Ja
105302,C,Ja
105304,C,Ja
105306,-,Ja
105308,A,Nein
105311,C,Ja
105314,C,Ja
105321,C,Ja
105324,-,Ja
105329,-,Ja
105335,A,Ja
105343,-,Ja
105352,C,Ja
105356,B,Ja
105361,C,Nein
105364,-,Ja
105365,C,Ja
105374,-,Ja
105375,-,Ja
105383,C,Ja
105385,C,Ja
105389,C,Ja
105391,C,Nein
105392,C,Ja
105393,C,Nein
105395,A,Nein
105400,-,Ja
105402,C,Ja
105407,B,Nein
105417,C,Nein
105421,C,Nein
105425,C,Ja
105430,B,Ja
105441,C,Ja
105442,C,Ja
105443,A,Nein
105445,C,Ja
105455,-,Ja
105471,-,Ja
105473,B,Ja
105476,C,Ja
105477,-,Ja
105487,C,Ja
105491,C,Ja
105493,-,Ja
105497,C,Ja
105498,B,Nein
105499,B,Ja
105508,-,Ja
105509,-,Ja
105513,C,Ja
105515,B,Nein
105516,B,Nein
105533,A,Nein
105534,C,Nein
105543,-,Ja
105551,C,Ja
105552,-,Ja
105556,C,Ja
105558,B,Nein
105559,A,Ja
105568,C,Nein
105574,A,Nein
105575,A,Nein
105577,A,Nein
105586,C,Ja
105599,C,Ja
105600,C,Nein
105619,A,Nein
105626,B,Nein
105641,C,Ja
105642,C,Ja
105649,-,Ja
105650,B,Ja
105651,C,Ja
105655,A,Nein
105658,C,Ja
105665,B,Nein
105672,C,Nein
105675,B,Ja
105676,-,Ja
105684,C,Ja
105695,A,Nein
105710,C,Ja
105719,-,Ja
105722,B,Nein
105723,C,Ja
105740,C,Nein
105750,C,Ja
105757,C,Ja
105760,B,Nein
105763,C,Ja
105766,C,Ja
105772,C,Ja
105775,B,Nein
105777,B,Nein
105785,-,Ja
105786,-,Ja
105790,C,Ja
105794,B,Ja
105797,A,Nein
105809,-,Ja
105811,B,Nein
105817,C,Ja
105824,C,Ja
105827,C,Ja
105835,A,Nein
105836,C,Nein
105841,C,Ja
105845,B,Ja
105847,C,Nein
105849,C,Ja
105855,C,Ja
105856,C,Ja
105860,C,Ja
105873,B,Nein
105876,C,Ja
105885,C,Ja
105886,C,Ja
105890,B,Nein
105892,C,Ja
105893,C,Ja
105907,C,Ja
105908,C,Ja
105911,B,Nein
105915,C,Nein
105922,A,Nein
105934,B,Nein
105936,-,Ja
105937,-,Ja
105942,C,Ja
105949,-,Ja
105951,-,Ja
105952,C,Ja
105954,C,Ja
105960,C,Ja
105961,B,Nein
105964,B,Ja
105973,B,Nein
105977,B,Nein
105980,B,Nein
105986,C,Ja
105989,C,Ja
105992,C,Ja
106000,A,Nein
106007,C,Ja
106016,B,Nein
106019,C,Nein
106026,-,Ja
106036,B,Nein
106038,B,Ja
106039,C,Nein
106053,C,Ja
106062,C,Ja
106069,C,Ja
106072,C,Ja
106074,C,Ja
106078,C,Ja
106085,A,Ja
106086,C,Nein
106091,C,Ja
106097,C,Ja
106099,C,Ja
106103,-,Ja
106104,C,Ja
106109,C,Ja
106111,A,Nein
106119,C,Ja
106121,C,Ja
106124,B,Nein
106128,C,Ja
106135,B,Nein
106142,C,Ja
106145,B,Nein
106147,C,Ja
106152,-,Ja
106153,A,Nein
106156,C,Nein
106159,-,Ja
106166,C,Ja
106168,C,Ja
106177,C,Ja
106187,C,Ja
106194,A,Nein
106202,C,Ja
106207,B,Ja
106208,C,Nein
106213,C,Ja
106214,B,Ja
106228,B,Nein
106233,B,Ja
106236,C,Ja
106238,A,Ja
106243,C,Ja
106245,A,Nein
106247,-,Ja
106257,-,Ja
106265,A,Nein
106267,C,Ja
106268,C,Ja
106269,C,Ja
106270,A,Nein
106274,C,Ja
106277,A,Ja
106278,C,Ja
106280,C,Ja
106281,C,Ja
106284,C,Ja
106285,A,Nein
106287,B,Ja
106289,B,Nein
106295,C,Ja
106296,C,Ja
106302,B,Nein
106307,C,Nein
106316,C,Ja
106318,C,Ja
106319,C,Ja
106326,C,Ja
106334,C,Ja
106336,C,Ja
106340,C,Nein
106346,C,Ja
106347,-,Ja
106352,C,Ja
106368,B,Nein
106374,B,Ja
106378,C,Ja
106381,A,Nein
106386,A,Ja
106387,C,Ja
106393,C,Nein
106396,B,Nein
106398,B,Nein
106399,C,Ja
106406,C,Ja
106416,B,Nein
106417,A,Nein
106418,C,Nein
106419,C,Ja
106422,-,Ja
106424,-,Ja
106432,B,Nein
106433,B,Ja
106439,C,Ja
106448,C,Ja
106449,C,Nein
106459,A,Nein
106461,C,Nein
106463,A,Nein
106464,A,Nein
106510,B,Nein
106511,C,Ja
106512,C,Ja
106513,-,Ja
106516,C,Ja
106519,C,Nein
106520,C,Ja
106526,C,Ja
106528,B,Nein
106537,C,Ja
106539,A,Nein
106540,A,Nein
106541,C,Ja
106545,C,Ja
106547,-,Ja
106552,A,Nein
106556,C,Ja
106557,C,Ja
106560,A,Nein
106561,B,Ja
106567,-,Ja
106572,C,Nein
106578,-,Ja
106579,A,Nein
106581,C,Ja
106592,C,Ja
106596,C,Ja
106597,A,Nein
106600,C,Ja
106604,C,Ja
106605,C,Ja
106606,C,Ja
106612,B,Ja
106624,C,Ja
106626,B,Ja
106628,C,Ja
106639,C,Ja
106640,C,Nein
106642,C,Nein
106648,-,Ja
106654,B,Nein
106655,B,Nein
106658,C,Nein
106661,B,Nein
106662,C,Ja
106663,C,Ja
106664,C,Nein
106676,C,Ja
106680,-,Ja
106681,C,Ja
106686,-,Ja
106687,A,Ja
106688,B,Ja
106695,C,Ja
106696,A,Ja
106702,B,Nein
106704,B,Ja
106712,B,Ja
106714,C,Ja
106715,C,Ja
106721,C,Ja
106722,C,Ja
106726,-,Ja
106736,-,Ja
106760,-,Ja
106761,C,Ja
106763,B,Nein
106767,C,Ja
106771,C,Ja
106773,C,Ja
106775,C,Ja
106777,C,Ja
106778,B,Ja
106783,C,Ja
106787,C,Ja
106788,C,Ja
106795,C,Nein
106801,C,Ja
106803,C,Ja
106817,A,Nein
106823,A,Ja
106824,B,Nein
106825,B,Nein
106826,C,Ja
106827,C,Nein
106828,-,Ja
106835,C,Ja
106837,C,Nein
106842,C,Ja
106853,C,Ja
106854,C,Ja
106858,A,Nein
106862,-,Ja
106864,C,Nein
106867,C,Ja
106873,C,Ja
106874,C,Nein
106881,A,Nein
106886,C,Ja
106889,C,Ja
106891,C,Ja
106892,C,Nein
106904,C,Nein
106911,C,Ja
106912,B,Nein
106913,C,Ja
106920,A,Ja
106927,C,Ja
106929,C,Nein
106937,C,Ja
106938,C,Ja
106945,B,Ja
106950,C,Ja
106951,C,Ja
106952,A,Ja
106958,B,Ja
106963,C,Nein
106965,C,Ja
106966,C,Ja
106970,B,Ja
106971,B,Ja
106976,C,Ja
106978,C,Ja
106982,C,Nein
106986,B,Ja
106994,A,Nein
106998,C,Ja
107000,C,Ja
107002,C,Ja
107003,C,Ja
107004,C,Ja
107007,C,Ja
107010,C,Ja
107016,C,Ja
107021,C,Ja
107027,C,Ja
107034,C,Ja
107036,C,Ja
107038,A,Nein
107039,C,Ja
107040,C,Ja
107043,C,Ja
107044,C,Ja
107045,A,Nein
107059,B,Ja
107060,C,Ja
107062,C,Ja
107066,B,Nein
107067,C,Ja
107076,B,Ja
107080,C,Ja
107084,C,Ja
107089,-,Ja
107090,C,Nein
107093,C,Ja
107097,C,Ja
107098,C,Nein
107100,C,Ja
107101,C,Ja
107104,B,Nein
107106,C,Ja
107108,B,Nein
107109,B,Ja
107111,C,Ja
107120,A,Nein
107125,C,Nein
107126,C,Ja
107132,C,Ja
107135,B,Ja
107138,C,Nein
107145,C,Nein
107151,A,Nein
107153,-,Ja
107156,C,Ja
107157,C,Ja
107159,C,Ja
107160,C,Ja
107180,B,Nein
107185,A,Nein
107187,C,Ja
107193,C,Ja
107194,-,Ja
107196,B,Nein
107199,C,Ja
107200,C,Ja
107210,C,Ja
107213,C,Ja
107214,C,Ja
107216,C,Ja
107217,C,Ja
107228,-,Ja
107235,C,Nein
107237,C,Ja
107246,A,Ja
107252,C,Ja
107254,C,Ja
107256,C,Ja
107259,B,Nein
107260,C,Ja
107268,C,Ja
107283,C,Ja
107287,C,Ja
107291,C,Ja
107293,C,Ja
107294,C,Ja
107295,C,Ja
107296,C,Ja
107300,C,Ja
107305,C,Ja
107307,C,Ja
107310,B,Nein
107315,C,Ja
107319,C,Ja
107320,C,Ja
107325,C,Nein
107326,C,Ja
107329,C,Ja
107332,-,Ja
107340,C,Ja
107344,-,Ja
107345,B,Nein
107349,C,Ja
107350,A,Ja
107352,C,Ja
107353,C,Ja
107354,-,Ja
107361,C,Ja
107364,C,Ja
107365,C,Ja
107368,B,Nein
107376,C,Nein
107381,C,Ja
107384,B,Ja
107393,C,Nein
107397,B,Ja
107398,-,Ja
107400,-,Ja
107404,C,Ja
107406,C,Nein
107408,-,Ja
107410,C,Ja
107413,A,Ja
107416,B,Nein
107418,C,Ja
107423,-,Ja
107425,-,Ja
107427,A,Nein
107433,C,Ja
107436,-,Ja
107437,C,Ja
107440,B,Ja
107443,C,Ja
107444,-,Ja
107448,C,Nein
107459,-,Ja
107460,C,Ja
107468,-,Ja
107471,C,Nein
107474,C,Nein
107475,B,Ja
107481,C,Ja
107484,B,Nein
107497,-,Ja
107499,B,Nein
107503,C,Ja
107504,C,Ja
107505,C,Ja
107507,A,Nein
107508,A,Nein
107509,C,Ja
107510,C,Ja
107515,C,Ja
107517,C,Ja
107520,C,Nein
107523,C,Nein
107531,C,Ja
107536,C,Nein
107544,C,Ja
107545,C,Ja
107549,B,Ja
107553,-,Ja
107554,B,Nein
107558,C,Ja
107562,B,Ja
107564,C,Ja
107576,C,Ja
107581,B,Ja
107582,C,Ja
107585,-,Ja
107586,B,Nein
107588,C,Ja
107589,A,Nein
107590,C,Ja
107591,-,Ja
107592,B,Ja
107595,C,Ja
107602,B,Ja
107604,B,Nein
107610,C,Ja
107611,B,Nein
107615,-,Ja
107617,C,Nein
107621,-,Ja
107622,B,Nein
107623,A,Nein
107627,C,Ja
107628,C,Ja
107638,C,Nein
107641,A,Ja
107645,-,Ja
107649,B,Nein
107650,C,Ja
107655,-,Ja
107658,C,Ja
107664,B,Ja
107665,-,Ja
107670,C,Ja
107672,-,Ja
107674,-,Ja
107675,B,Nein
107677,B,Nein
107679,C,Nein
107680,C,Ja
107684,C,Ja
107685,B,Nein
107687,C,Ja
107688,C,Ja
107689,C,Ja
107690,C,Ja
107691,B,Ja
107694,C,Nein
107695,C,Ja
107703,C,Ja
107706,B,Ja
107709,C,Ja
107710,B,Nein
107713,B,Nein
107714,C,Nein
107715,C,Ja
107716,C,Ja
107718,B,Nein
107721,B,Nein
107730,C,Nein
107732,C,Ja
107745,A,Nein
107747,-,Ja
107750,A,Nein
107751,B,Nein
107752,A,Nein
107754,C,Nein
107758,C,Nein
107759,-,Ja
107761,-,Ja
107762,-,Ja
107763,B,Nein
107771,C,Nein
107773,-,Ja
107775,C,Ja
107777,-,Ja
107780,C,Nein
107781,C,Ja
107785,C,Nein
107790,A,Nein
107792,C,Nein
107796,-,Ja
107801,-,Ja
107808,B,Nein
107809,B,Nein
107811,C,Nein
107815,C,Ja
107817,-,Ja
107826,C,Ja
107828,B,Nein
107829,C,Ja
107834,B,Nein
107836,C,Nein
107839,-,Ja
107847,A,Nein
107854,-,Ja
107859,B,Nein
107863,-,Ja
107866,-,Ja
107871,B,Nein
107878,-,Ja
107879,C,Ja
107883,A,Nein
107888,B,Nein
107890,-,Ja
107891,B,Nein
107892,-,Ja
107894,B,Nein
107902,-,Ja
107904,A,Nein
107906,B,Nein
107907,C,Ja
107913,-,Ja
107918,-,Ja
107928,B,Nein
107930,C,Nein
107934,C,Ja
107936,C,Ja
107939,C,Ja
107941,B,Nein
107950,B,Nein
107954,C,Ja
107955,C,Ja
107957,-,Ja
107964,-,Ja
107966,B,Ja
107968,B,Ja
107971,C,Ja
107972,-,Ja
107974,C,Nein
107977,C,Nein
107978,B,Ja
107987,-,Ja
107988,C,Ja
107992,C,Ja
107994,C,Nein
107999,C,Ja
108001,A,Nein
108007,-,Ja
108009,C,Ja
108011,B,Ja
108019,C,Ja
108024,A,Nein
108028,-,Ja
108031,-,Ja
108035,-,Ja
108036,-,Ja
108037,-,Ja
108039,C,Ja
108041,C,Ja
108045,C,Nein
108046,C,Nein
108048,B,Nein
108049,C,Ja
108053,-,Ja
108054,C,Ja
108058,C,Ja
108062,-,Ja
108063,C,Ja
108064,-,Ja
108072,-,Ja
108080,B,Nein
108082,C,Ja
108083,-,Ja
108089,C,Ja
108091,A,Nein
108093,B,Ja
108096,B,Nein
108100,C,Ja
108108,C,Nein
108111,C,Ja
108112,A,Nein
108113,C,Ja
108116,-,Ja
108117,-,Ja
108118,C,Ja
108122,-,Ja
108123,B,Nein
108126,A,Nein
108128,B,Nein
108130,-,Ja
108131,-,Ja
108133,-,Ja
108135,-,Ja
108136,A,Nein
108141,B,Ja
108142,C,Ja
108143,C,Ja
108146,C,Ja
108147,C,Ja
108151,-,Ja
108152,C,Ja
108154,B,Ja
108156,-,Ja
108158,-,Ja
108160,C,Ja
108161,-,Ja
108163,-,Ja
108165,B,Nein
108173,C,Ja
108179,C,Ja
108184,-,Ja
108186,C,Nein
108188,-,Ja
108192,-,Ja
108193,-,Ja
108195,C,Ja
108197,B,Nein
108198,C,Ja
108200,C,Nein
108203,C,Ja
108209,A,Nein
108213,C,Ja
108216,C,Ja
108217,C,Ja
108218,A,Nein
108224,C,Ja
108225,C,Ja
108226,C,Nein
108227,B,Nein
108228,B,Nein
108232,C,Ja
108235,C,Nein
108236,C,Ja
108238,C,Ja
108239,B,Nein
108240,A,Nein
108241,B,Nein
108242,-,Ja
108243,C,Nein
108244,-,Ja
108247,-,Ja
108248,C,Ja
108250,B,Ja
108255,B,Nein
108259,A,Nein
108260,C,Ja
108267,-,Ja
108272,B,Nein
108274,C,Ja
108279,C,Ja
108281,C,Ja
108282,-,Ja
108284,C,Nein
108288,-,Ja
108297,C,Nein
108301,B,Nein
108302,C,Ja
108305,B,Nein
108307,-,Ja
108311,C,Ja
108312,C,Ja
108313,C,Ja
108315,C,Ja
108318,-,Ja
108324,C,Nein
108326,C,Ja
108327,-,Ja
108330,C,Ja
108332,C,Nein
108333,-,Ja
108336,C,Ja
108337,-,Ja
108338,B,Nein
108341,-,Ja
108342,B,Ja
108343,B,Ja
108347,-,Ja
108349,-,Ja
108366,-,Ja
108370,-,Ja
108378,-,Ja
108379,C,Nein
108380,-,Ja
108381,C,Ja
108384,C,Ja
108386,C,Ja
108387,C,Ja
108393,C,Nein
108401,-,Ja
108403,C,Ja
108407,C,Ja
108409,C,Nein
108410,C,Ja
108411,C,Ja
108412,C,Nein
108413,B,Nein
108416,-,Ja
108421,B,Ja
108424,C,Ja
108428,B,Nein
108431,C,Nein
108435,C,Nein
108436,-,Ja
108439,-,Ja
108440,A,Nein
108444,C,Ja
108447,A,Nein
108449,C,Ja
108451,-,Ja
108452,C,Ja
108459,C,Ja
108460,C,Nein
108462,C,Ja
108465,C,Nein
108471,B,Nein
108476,B,Ja
108478,A,Nein
108480,-,Ja
108488,C,Ja
108490,C,Nein
108491,C,Ja
108493,A,Nein
108494,-,Ja
108498,-,Ja
108499,B,Nein
108500,-,Ja
108501,C,Nein
108503,C,Ja
108504,C,Ja
108506,-,Ja
108508,-,Ja
108511,-,Ja
108521,B,Nein
108549,C,Nein
108551,C,Ja
108554,C,Ja
108556,C,Ja
108557,C,Ja
108558,C,Ja
108559,C,Ja
108560,C,Ja
108561,C,Ja
108562,C,Ja
108563,-,Ja
108564,A,Nein
108572,A,Nein
108573,A,Nein
108576,C,Ja
108577,C,Ja
108578,B,Nein
108579,-,Ja
108581,-,Ja
108582,C,Nein
108583,C,Ja
108585,C,Nein
108590,B,Nein
108593,B,Nein
108596,C,Nein
108599,-,Ja
108601,-,Ja
108602,B,Nein
108603,-,Ja
108605,-,Ja
108610,-,Ja
108621,A,Nein
108622,B,Nein
108626,C,Ja
108629,B,Nein
108632,-,Ja
108633,-,Ja
108638,C,Ja
108641,-,Ja
108642,-,Ja
108671,B,Nein
108672,B,Nein
108674,C,Ja
108678,B,Nein
108682,-,Ja
108686,C,Ja
108687,C,Ja
108690,A,Nein
108691,C,Ja
108693,B,Nein
108698,B,Nein
108705,C,Ja
108708,A,Nein
108711,-,Ja
108713,C,Nein
108717,B,Nein
108718,-,Ja
108720,C,Ja
108721,C,Nein
108733,C,Ja
108734,A,Nein
108735,C,Ja
108741,C,Ja
108743,-,Ja
108747,-,Ja
108748,-,Ja
108750,A,Nein
108751,C,Ja
108754,A,Nein
108758,C,Ja
108767,C,Ja
108768,-,Ja
108770,C,Ja
108772,-,Ja
108773,B,Ja
108776,A,Nein
108777,-,Ja
108779,C,Ja
108780,-,Ja
108781,C,Ja
108782,C,Ja
108783,C,Ja
108785,A,Nein
108792,B,Ja
108793,-,Ja
108796,B,Nein
108797,C,Ja
108799,B,Nein
108800,A,Nein
108801,B,Ja
108803,C,Ja
108810,-,Ja
108811,C,Ja
108818,-,Ja
108822,C,Ja
108827,A,Nein
108836,-,Ja
108840,C,Ja
108844,-,Ja
108845,-,Ja
108848,C,Ja
108851,C,Ja
108854,C,Nein
108859,-,Ja
108862,A,Nein
108863,C,Ja
108865,C,Ja
108870,-,Ja
108874,C,Ja
108875,-,Ja
108876,-,Ja
108879,-,Ja
108880,-,Ja
108881,C,Ja
108882,C,Ja
108883,C,Ja
108884,A,Nein
108886,C,Ja
108892,C,Ja
108893,-,Ja
108896,C,Ja
108897,-,Ja
108898,-,Ja
108899,-,Ja
108901,-,Ja
108910,-,Ja
108911,C,Ja
108912,C,Ja
108913,-,Ja
108915,A,Nein
108922,B,Nein
108925,C,Ja
108928,C,Nein
108940,C,Ja
108943,-,Ja
108945,C,Nein
108946,-,Ja
108948,-,Ja
108951,B,Nein
108953,C,Ja
108954,A,Nein
108958,C,Nein
108963,-,Ja
108965,B,Ja
108975,C,Ja
108976,-,Ja
108978,-,Ja
108980,C,Ja
108981,C,Ja
108982,C,Ja
108984,C,Ja
108986,B,Nein
108987,-,Ja
108989,B,Nein
108990,B,Nein
108998,C,Ja
109000,-,Ja
109001,-,Ja
109002,-,Ja
109015,C,Ja
109017,B,Ja
109022,C,Nein
109026,C,Nein
109028,A,Ja
109045,C,Ja
109046,-,Ja
109051,-,Ja
109053,-,Ja
109054,-,Ja
109055,B,Ja
109058,C,Ja
109065,A,Nein
109066,-,Ja
109069,B,Nein
109071,-,Ja
109074,-,Ja
109078,-,Ja
109080,-,Ja
109084,C,Ja
109085,C,Ja
109087,C,Ja
109088,C,Ja
109089,-,Ja
109091,C,Ja
109093,A,Nein
109094,-,Ja
109095,C,Nein
109102,-,Ja
109105,-,Ja
109107,C,Ja
109108,C,Ja
109110,A,Nein
109112,C,Nein
109113,C,Ja
109114,-,Ja
109115,C,Ja
109116,C,Ja
109117,C,Ja
109118,C,Ja
109119,-,Ja
109120,C,Ja
109121,C,Ja
109122,-,Ja
109123,C,Ja
109124,C,Ja
109127,A,Nein
109135,C,Ja
109137,-,Ja
109138,C,Ja
109141,-,Ja
109143,B,Nein
109145,-,Ja
109148,-,Ja
109149,B,Nein
109151,B,Nein
109153,A,Nein
109163,C,Ja
109166,A,Nein
109167,C,Nein
109169,C,Ja
109171,-,Ja
109173,A,Nein
109177,C,Nein
109178,-,Ja
109179,-,Ja
109182,C,Ja
109183,C,Nein
109185,C,Ja
109186,C,Nein
109188,A,Nein
109191,C,Ja
109192,B,Nein
109193,-,Ja
109194,A,Nein
109199,A,Nein
109200,-,Ja
109201,B,Nein
109202,A,Nein
109205,-,Ja
109206,B,Nein
109207,C,Nein
109209,C,Ja
109210,A,Nein
109211,A,Nein
109216,C,Nein
109220,A,Nein
109221,B,Nein
109225,B,Ja
109228,C,Nein
109230,-,Ja
109232,A,Nein
109237,-,Ja
109238,C,Ja
109239,C,Ja
109243,A,Nein
109244,-,Ja
109246,C,Nein
109248,C,Nein
109250,A,Nein
109253,-,Ja
109255,C,Nein
109258,C,Ja
109259,A,Nein
109266,-,Ja
109270,C,Ja
109276,-,Ja
109277,B,Nein
109278,C,Ja
109281,C,Nein
109285,C,Ja
109291,C,Ja
109295,-,Ja
109300,B,Nein
109301,C,Nein
109303,C,Ja
109305,-,Ja
109306,-,Ja
109307,A,Nein
109308,C,Ja
109310,-,Ja
109312,C,Nein
109313,-,Ja
109314,-,Ja
109320,-,Ja
109321,A,Nein
109323,-,Ja
109325,C,Ja
109327,-,Ja
109329,C,Ja
109330,B,Nein
109331,C,Nein
109332,C,Ja
109334,C,Nein
109336,-,Ja
109337,-,Ja
109338,B,Nein
109341,C,Ja
109342,C,Ja
109343,C,Ja
109345,C,Ja
109346,C,Ja
109347,B,Ja
109348,C,Ja
109350,C,Ja
109353,A,Nein
109356,C,Nein
109357,-,Ja
109359,-,Ja
109362,C,Ja
109371,B,Nein
109373,B,Nein
109377,-,Ja
109378,-,Ja
109381,C,Nein
109382,C,Ja
109383,-,Ja
109384,C,Ja
109386,B,Nein
109388,A,Nein
109390,-,Ja
109400,-,Ja
109401,-,Ja
109402,-,Ja
109411,-,Ja
109412,C,Ja
109414,C,Ja
109416,-,Ja
109417,B,Nein
109418,C,Ja
109419,-,Ja
109425,-,Ja
109427,C,Ja
109428,C,Ja
109430,C,Ja
109432,C,Ja
109434,-,Ja
109436,C,Nein
109437,-,Ja
109438,C,Ja
109442,C,Ja
109446,B,Nein
109447,B,Nein
109450,C,Nein
109451,B,Nein
109458,A,Nein
109459,B,Nein
109461,A,Nein
109462,-,Ja
109463,-,Ja
109472,C,Nein
109473,-,Ja
109480,A,Ja
109481,-,Ja
109482,-,Ja
109485,-,Ja
109488,C,Ja
109498,C,Ja
109500,C,Ja
109503,C,Nein
109505,-,Ja
109512,C,Ja
109515,-,Ja
109518,-,Ja
109519,-,Ja
109522,-,Ja
109524,C,Nein
109526,C,Ja
109531,-,Ja
109533,C,Ja
109536,-,Ja
109539,B,Nein
109540,-,Ja
109542,-,Ja
109545,-,Ja
109548,C,Nein
109549,-,Ja
109550,C,Ja
109551,-,Ja
109552,-,Ja
109553,-,Ja
109555,B,Nein
109557,-,Ja
109559,B,Ja
109562,B,Nein
109567,C,Ja
109569,C,Nein
109571,A,Nein
109572,-,Ja
109573,-,Ja
109574,-,Ja
109575,C,Ja
109578,C,Ja
109584,C,Ja
109585,-,Ja
109587,-,Ja
109588,C,Ja
109590,-,Ja
109591,-,Ja
109592,C,Ja
109595,C,Nein
109599,C,Nein
109600,-,Ja
109601,C,Ja
109603,C,Nein
109605,-,Ja
109610,C,Ja
109612,A,Nein
109615,-,Ja
109618,-,Ja
109621,C,Nein
109622,C,Ja
109624,B,Nein
109625,C,Nein
109626,B,Nein
109627,C,Ja
109630,C,Ja
109631,B,Ja
109632,C,Ja
109635,C,Nein
109640,-,Ja
109641,C,Nein
109643,A,Nein
109645,A,Nein
109646,C,Nein
109647,A,Nein
109648,-,Ja
109650,B,Ja
109653,B,Nein
109656,B,Nein
109657,C,Nein
109658,C,Nein
109659,B,Nein
109661,-,Ja
109663,C,Ja
109664,C,Ja
109667,C,Ja
109674,C,Ja
109675,C,Ja
109678,C,Ja
109682,C,Ja
109684,B,Nein
109688,-,Ja
109692,C,Ja
109697,A,Nein
109701,B,Nein
109702,C,Ja
109703,-,Ja
109706,B,Nein
109707,C,Ja
109708,B,Nein
109710,B,Nein
109713,B,Nein
109714,-,Ja
109716,C,Ja
109722,C,Ja
109723,C,Ja
109724,C,Ja
109725,-,Ja
109726,C,Ja
109731,-,Ja
109733,-,Ja
109735,-,Ja
109739,A,Nein
109740,C,Nein
109743,B,Nein
109747,-,Ja
109749,B,Nein
109750,A,Nein
109753,C,Ja
109755,C,Ja
109756,B,Nein
109757,A,Nein
109758,A,Nein
109759,C,Nein
109761,C,Ja
109765,-,Ja
109766,-,Ja
109768,-,Ja
109772,-,Ja
109774,C,Nein
109776,-,Ja
109781,C,Ja
109782,-,Ja
109783,C,Ja
109788,C,Ja
109791,-,Ja
109793,A,Nein
109794,-,Ja
109795,-,Ja
109796,C,Ja
109801,-,Ja
109802,-,Ja
109805,-,Ja
109809,C,Nein
109811,C,Nein
109813,-,Ja
109815,-,Ja
109816,-,Ja
109820,C,Nein
109821,C,Nein
109823,A,Nein
109824,C,Nein
109826,-,Ja
109827,C,Ja
109828,-,Ja
109829,-,Ja
109830,B,Nein
109831,C,Ja
109835,B,Nein
109839,-,Ja
109840,B,Nein
109842,A,Nein
109846,C,Ja
109848,C,Ja
109852,-,Ja
109855,C,Nein
109857,-,Ja
109859,C,Ja
109863,-,Ja
109868,-,Ja
109875,C,Ja
109876,C,Nein
109879,-,Ja
109883,-,Ja
109890,C,Ja
109892,-,Ja
109893,-,Ja
109894,B,Nein
109895,-,Ja
109899,-,Ja
109901,C,Ja
109906,-,Ja
109908,-,Ja
109909,-,Ja
109912,C,Ja
109915,C,Nein
109917,C,Nein
109919,A,Nein
109920,C,Nein
109924,-,Ja
109925,-,Ja
109926,C,Nein
109927,-,Ja
109930,C,Ja
109932,-,Ja
109935,-,Ja
109937,A,Nein
109938,C,Ja
109941,C,Ja
109942,C,Ja
109944,B,Nein
109947,-,Ja
109948,C,Ja
109950,C,Ja
109951,-,Ja
109955,C,Ja
109958,-,Ja
109962,C,Ja
109963,C,Ja
109964,-,Ja
109967,B,Nein
109970,C,Ja
109971,C,Ja
109972,C,Ja
109975,-,Ja
109978,-,Ja
109979,A,Nein
109980,A,Nein
109982,C,Ja
109985,A,Nein
109986,A,Nein
109987,-,Ja
109988,-,Ja
109990,A,Nein
109994,A,Nein
109996,C,Nein
109998,-,Ja
109999,C,Ja
120001,-,Ja
150000,-,Ja
150001,B,Nein
150002,-,Ja
150003,-,Ja
150004,C,Ja
150005,C,Ja
150006,C,Nein
150007,B,Nein
150008,C,Nein
150009,B,Nein
150010,-,Ja
150011,B,Nein
150012,C,Ja
150013,A,Nein
150014,-,Ja
150015,-,Ja
150016,-,Ja
150017,-,Ja
150018,-,Ja
150019,-,Ja
150020,C,Nein
150021,-,Ja
150022,-,Ja
150023,-,Ja
150024,-,Ja
150025,-,Ja
150026,-,Ja
150027,C,Ja
150028,C,Nein
150029,C,Nein
150030,-,Ja
150031,-,Nein
150032,-,Ja
150033,A,Nein
150034,-,Ja
150035,-,Nein
150036,B,Nein
150037,-,Ja
150038,C,Nein
150039,B,Nein
150040,C,Nein
150041,C,Nein
150042,-,Ja
